"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ABCC3",-0.583904184757575,1.63444929722292,-1.5083726310973,0.139673378692583,0.314833418145875,-5.43189646454827
"PLXNB1",0.325497240653936,3.57160749408289,1.50805899651061,0.139753392289202,0.314934998494825,-5.4323447442034
"ERLIN2",-0.297660567154153,3.58467635297121,-1.50805279761583,0.139754974103706,0.314934998494825,-5.43235360348636
"ARF3",-0.524987669151609,2.78127858508558,-1.50797670245799,0.139774392994203,0.314937598327676,-5.43246235388043
"SLC22A18",-0.391434111356651,3.9560067666247,-1.50739812616109,0.139922111755259,0.315188060871389,-5.43328905966896
"ZFP14",-0.143809791452229,8.55771238022913,-1.50685560743113,0.140060737918306,0.315369612051172,-5.43406398896139
"CEP170",-0.411530898522261,3.31514787788363,-1.50621014337687,0.140225812063912,0.315562981533803,-5.43498564271978
"AMMECR1",-0.268035719326893,4.70215016299519,-1.50578258335896,0.140335243993246,0.315691709199021,-5.43559596022493
"LILRA2",-0.391796780406959,3.72439788573875,-1.50568398123999,0.140360490417974,0.315691709199021,-5.43573668734141
"RPS6KA6",-0.278576290823619,5.56622031132929,-1.50566479017582,0.140365404586011,0.315691709199021,-5.43576407630208
"FLJ12825",0.226186151425642,5.92724843854739,1.50498957801171,0.140538390655061,0.315957129000572,-5.43672752376611
"STRN3",-0.188363104408889,9.78788938955212,-1.50484278397343,0.140576021117055,0.316031427896713,-5.43693693074501
"NCOA2",-0.32876571629804,6.75056662890333,-1.5047773116338,0.140592807463866,0.316055187561563,-5.43703032355907
"GIGYF1",0.30509993069548,4.15043172954682,1.50471698830647,0.140608275082005,0.316073030845638,-5.43711636839461
"LINC02596",0.496913486536024,2.23389505921809,1.50462627699992,0.140631537099919,0.316115018537346,-5.43724575271073
"FCHO1",-0.281509171037921,3.01400579960802,-1.50438261906851,0.140694035997199,0.316225288608772,-5.43759325527654
"B4GALNT2",-0.151896498893376,7.17838775104894,-1.50425714174875,0.140726229917449,0.316251388256319,-5.43777219035788
"NT5C3B",-0.393506860791527,3.11131155059287,-1.5041805140371,0.140745893309865,0.316268994936349,-5.43788145767296
"LINC01160",-0.204222932828532,6.04744400274564,-1.50409916598983,0.14076677038788,0.316284993277694,-5.43799745055612
"RTKN2",-0.265418793892003,5.23012031020307,-1.50402613347522,0.140785515484693,0.316296198670291,-5.43810158171935
"ZNF276",-0.265429515343087,6.15771438059167,-1.50381728552118,0.140839131045272,0.316396041438142,-5.43839933642522
"IRX5",-0.546861846388062,4.49798242381843,-1.5036794628569,0.140874521891633,0.316422331883068,-5.43859581025026
"CNN3-DT",0.35137899565208,4.665543662015,1.50367825685456,0.140874831606775,0.316422331883068,-5.43859752940282
"SLF1",-0.171955819203573,8.53759697763597,-1.50366451460699,0.140878360810981,0.316422331883068,-5.4386171188476
"DTX3",0.211502621308572,6.16788078023442,1.50308938211081,0.141026126367099,0.316651103152612,-5.43943682257546
"EDA2R",0.477351726090439,6.07241210336814,1.50261040655336,0.141149281358769,0.316872951408183,-5.44011926720705
"SBF1",0.31227985722533,3.82596492612466,1.50257370947696,0.141158720514978,0.316872951408183,-5.44017154527219
"TTPAL",-0.242338255010981,5.9297128156312,-1.50222920479405,0.141247357985049,0.316964550857253,-5.44066226593762
"ZNF114-AS1",-0.437435321536893,4.32461941838932,-1.50217139874213,0.141262235236338,0.316964550857253,-5.44074459648323
"HPS4",-0.296239702091914,5.50671494448046,-1.50207238486113,0.141287720846788,0.317001109525145,-5.44088561095295
"RAB3GAP1",-0.175913102560679,6.89674728911133,-1.50196447542604,0.141315500305271,0.317053123062182,-5.44103928499106
"DPYSL5",0.314367741854993,3.48632123222065,1.50188179803019,0.141336787154209,0.317069939175962,-5.44115701941243
"KIF9-AS1",-0.217624676053354,6.3158308343939,-1.50184250112787,0.141346905778096,0.317082325305424,-5.44121297704765
"CTNND2",-0.351283377052981,4.65627069226412,-1.50174088904045,0.141373072724104,0.317120396324241,-5.44135766366126
"THBS3",-0.299282636320605,6.56285041537409,-1.50156169962019,0.141419226661971,0.317203293208759,-5.44161279238541
"PTCSC3",-0.203495130693518,7.35618623957315,-1.50135406553726,0.141472722163335,0.317282009807342,-5.44190838668648
"DAGLA",-0.198078585396577,6.96237690724272,-1.50083260365387,0.141607144524598,0.317490671736875,-5.44265059618763
