"","adj.P.Val","P.Value","t","B","logFC"
"STAMBP",0.000625,8.01e-05,4.0578578,0.670201,0.14380618
"RIOK3",0.000625,8.01e-05,4.0577722,0.669888,0.15257567
"PSD3",0.000629,8.06e-05,4.0562899,0.66448,0.18351344
"EBF3",0.000631,8.09e-05,4.055372,0.661132,0.21804411
"TMEM63A",0.000631,8.09e-05,-4.0551731,0.660407,-0.14694351
"DGCR6",0.000632,8.11e-05,4.054572,0.658214,0.25334043
"TFCP2",0.000636,8.16e-05,4.0530045,0.652499,0.14672665
"MRPS35",0.000638,8.18e-05,4.0522156,0.649623,0.26209248
"MOCS2",0.000638,8.19e-05,4.0521097,0.649237,0.20875139
"LOC653479",0.00064,8.21e-05,4.0512752,0.646196,0.18573896
"MRPL55",0.000641,8.22e-05,4.0509745,0.6451,0.14168329
"EPC1",0.000641,8.23e-05,4.050868,0.644712,0.14828132
"NDST2",0.000642,8.25e-05,-4.0503003,0.642643,-0.13293245
"NMNAT1",0.000644,8.27e-05,4.0495442,0.639889,0.15247883
"HS.514518",0.000644,8.28e-05,4.0493017,0.639005,0.11041889
"STAT6",0.000644,8.28e-05,-4.0492716,0.638896,-0.17333576
"GMEB1",0.000644,8.28e-05,-4.0491153,0.638326,-0.10371197
"SPRYD4",0.000645,8.29e-05,4.0488918,0.637512,0.17516102
"LOC440928",0.000645,8.29e-05,4.0488849,0.637487,0.0958318
"VCAN",0.000646,8.3e-05,-4.0484553,0.635922,-0.45328719
"PITX3",0.000647,8.32e-05,-4.0479942,0.634243,-0.15764988
"PIK4CA",0.000649,8.35e-05,-4.047027,0.630721,-0.16070133
"SLC2A14",0.00065,8.37e-05,-4.0463969,0.628427,-0.11664433
"HS.156892",0.000651,8.38e-05,4.0460793,0.62727,0.0977977
"JUN",0.000652,8.4e-05,-4.0455575,0.625371,-0.28771469
"AUH",0.000655,8.43e-05,4.0444889,0.621481,0.30108016
"SRRD",0.000655,8.44e-05,-4.0441598,0.620283,-0.17686465
"ZNF416",0.000658,8.48e-05,4.0430877,0.616382,0.12660481
"AZI2",0.000659,8.49e-05,4.042666,0.614848,0.17114936
"HIVEP1",0.000661,8.51e-05,4.0419596,0.612278,0.1268596
"ALKBH3",0.000662,8.54e-05,-4.0411647,0.609387,-0.1973575
"LMBR1",0.000668,8.61e-05,4.0390731,0.601781,0.17480976
"LY6E",0.000668,8.62e-05,-4.0388137,0.600838,-0.45115506
"SENP6",0.000673,8.68e-05,4.0368643,0.593753,0.11998442
"KIAA0776",0.000674,8.69e-05,4.0365605,0.592649,0.13711392
"PARK7",0.000674,8.7e-05,4.0364319,0.592181,0.16179606
"PCYOX1",0.000675,8.71e-05,4.0360815,0.590908,0.29465856
"LOC644390",0.000678,8.75e-05,4.0346987,0.585885,0.18639489
"TMEM37",0.000681,8.79e-05,-4.0335321,0.581648,-0.10850051
"LOC727935",0.000681,8.8e-05,4.0333619,0.58103,0.11359779
"LRAP",0.000682,8.81e-05,-4.0330863,0.580029,-0.27484155
"C1ORF218",0.000683,8.83e-05,4.0325849,0.578208,0.2541705
"AKAP6",0.000683,8.83e-05,4.0324932,0.577876,0.19712846
"RAB43",0.000685,8.85e-05,4.0317307,0.575107,0.0782273
"PFTK1",0.000685,8.86e-05,-4.0314899,0.574233,-0.15774642
"NUCB1",0.000686,8.88e-05,-4.0311086,0.572849,-0.17054779
"LOC644863",0.000689,8.91e-05,4.030146,0.569355,0.19985007
"HS.439363",0.000692,8.96e-05,-4.0287529,0.5643,-0.12503662
"NT5DC2",0.000695,8.99e-05,-4.0276415,0.560268,-0.21890212
"DCK",0.000695,9e-05,4.0275876,0.560073,0.09608608
"MYO1F",0.000696,9.01e-05,-4.0271191,0.558373,-0.12443092
"C8ORF4",0.000702,9.09e-05,-4.0249721,0.550588,-0.33509931
"ADNP",0.000704,9.12e-05,4.0241123,0.547471,0.13037047
"OGT",0.000704,9.12e-05,4.0239219,0.546781,0.19289836
"PKN2",0.000705,9.13e-05,4.0235817,0.545548,0.16541311
"PIK3CD",0.000712,9.23e-05,-4.0208552,0.535669,-0.09650072
"PCNT",0.000721,9.35e-05,-4.0175847,0.523825,-0.27116524
"ATP5SL",0.000724,9.39e-05,4.0163708,0.519432,0.17613879
"HCG9",0.000725,9.4e-05,4.0160131,0.518137,0.19098926
"FOXC2",0.000727,9.43e-05,4.0152233,0.515279,0.15190102
"TMEM216",0.000731,9.48e-05,-4.013738,0.509906,-0.15937119
"C7ORF63",0.000732,9.49e-05,4.0135418,0.509196,0.13331403
"HS.133009",0.000749,9.72e-05,4.00732,0.486705,0.11850809
"ECM1",0.00075,9.74e-05,-4.0068166,0.484886,-0.19217789
"AATF",0.000751,9.75e-05,-4.0063915,0.483351,-0.23165679
"MGC20983",0.000753,9.78e-05,4.0057487,0.481029,0.12957119
"DST",0.000754,9.8e-05,4.0052112,0.479088,0.14068253
"MCTP1",0.000757,9.83e-05,-4.0043524,0.475987,-0.09343824
"GOLGA8A",0.000759,9.86e-05,-4.0035671,0.473152,-0.19734142
"ADH1A",0.000759,9.87e-05,-4.0033165,0.472247,-0.61799332
"CYB5R1",0.00076,9.87e-05,4.0031962,0.471813,0.25908998
"HS.556994",0.000761,9.89e-05,4.0027912,0.470351,0.16301955
"NOL5A",0.000765,9.94e-05,-4.0014249,0.46542,-0.26015564
"SETD2",0.000767,9.97e-05,4.0005242,0.462171,0.13744447
"RBM28",0.000768,9.99e-05,4.0002345,0.461126,0.17404405
"SOCS4",0.000768,9.99e-05,4.0001805,0.460931,0.10991448
"ANKRD37",0.000768,1e-04,-3.9999576,0.460127,-0.32031795
"LRP3",0.000768,1e-04,3.9999486,0.460094,0.19902478
"HS.470012",0.000769,1e-04,3.9994715,0.458373,0.13734347
"COL14A1",0.000771,1e-04,3.9988484,0.456126,0.18917034
"LOC202051",0.000771,1e-04,3.9987967,0.455939,0.22082296
"HS.452398",0.000771,1e-04,3.9987246,0.455679,0.13925053
"MGC72104",0.000771,1e-04,3.998657,0.455436,0.25794475
"SPAG9",0.000773,0.000101,-3.9980265,0.453162,-0.15061409
"RASAL2",0.000774,0.000101,3.9977093,0.452018,0.12662423
"C20ORF39",0.000776,0.000101,3.9969499,0.44928,0.34127767
"TRIM22",0.000776,0.000101,-3.9969103,0.449137,-0.29437673
"HS.566782",0.000779,0.000102,3.995768,0.44502,0.10729456
"PVRL3",0.000782,0.000102,-3.9946389,0.440951,-0.14244848
"ZMIZ1",0.000782,0.000102,3.9944333,0.44021,0.20711095
"RPL8",0.000782,0.000102,-3.9944,0.44009,-0.15930845
"KCTD14",0.000783,0.000102,-3.993978,0.438569,-0.09234276
"AS3MT",0.000784,0.000102,3.9938409,0.438075,0.27817866
"AMMECR1",0.000785,0.000103,-3.9932473,0.435937,-0.08361868
"RYBP",0.000786,0.000103,-3.9928964,0.434673,-0.26790254
"STX5",0.000786,0.000103,-3.9928278,0.434426,-0.14892465
"ZNF658B",0.000787,0.000103,3.9923972,0.432875,0.08176613
"NFU1",0.000789,0.000103,3.9919611,0.431304,0.23291798
"RNF41",0.000793,0.000104,-3.9902991,0.425319,-0.21074262
"ADAMTS1",0.000797,0.000104,-3.9892013,0.421367,-0.39629335
